,Gene Name,MeanLN_INS,P-valueLN_INSvsCON
809,EIF5B,0.718198202,0.01
810,EIF6,0.986347392,0.8
812,ELAVL1,1.012084209,0.85
814,ELMO2,0.890415709,0.29
821,EML4,0.809914015,0.12
822,ENAH,0.69548022,0.03
823,ENDOG,0.832537087,0.86
824,ENO3,0.739277688,0.4
832,EPRS,0.897252543,0.21
835,EPS8,0.820311944,0.02
837,ERC1,0.909376643,0.85
841,ERH,0.567067852,0.21
845,ETF1,0.669180966,0.07
850,EWSR1,0.71561036,0.01
851,EXOC1,1.373697796,0.49
852,EXOC2,0.733148209,0.3
854,EXOC4,0.969419809,0.08
869,EZR,0.899629008,0.53
870,F13A1,0.803620695,0.01
874,FAHD1,1.147266964,0.31
875,"FAHD2A,FAHD2B",0.77689939,0.3
876,FAM114A1,1.021397387,0.99
877,FAM114A2,1.15912091,0.26
879,FAM120A,0.800568806,0.01
880,FAM120B,0.648545191,0.02
884,FAM129B,0.810091347,0.87
888,FAM214B,0.911165277,0.91
889,FAM21A,0.849626772,0.01
893,FAM49B,0.889354275,0.27
894,FAM50A,0.773655287,0.04
898,FAM96B,0.651005641,0.67
899,FAM98A,0.745052766,0.01
900,FAM98B,0.756755152,0.02
903,FARSA,0.907535698,0.36
904,FARSB,0.813428135,0.16
905,FASN,0.870751855,0.76
909,FBL,0.918165805,0.25
918,FERMT2,1.162848547,0.48
919,FERMT3,0.933386026,0.48
924,FHL1,0.862742046,0.01
925,FHL2,1.007048039,0.49
926,FHL3,0.992500381,0.52
928,FILIP1,0.944528758,0.21
930,FIS1,0.865088911,0.01
932,FKBP15,0.851404644,0.07
934,FKBP3,0.763528163,0.01
937,FLII,0.785624898,0.09
939,FLNC,0.899024253,0.07
941,FMNL1,0.743422762,0.08
943,FMR1,0.665761281,0.1
944,FN1,0.85679247,0.03
948,FOCAD,0.093392013,0.17
949,FOXK1,0.668400169,0.01
958,FUBP1,0.70898581,0.12
961,FXR1,0.758999326,0.01
962,FXR2,0.932937596,0.08
964,G3BP1,0.809120657,0.01
965,G3BP2,0.8607986,0.09
968,GAK,0.95861335,0.6
969,GALK1,0.775806308,0.09
972,GAPDH,0.869029349,0.2
976,GBF1,0.703329832,0.28
983,GCN1L1,0.80363012,0.02
988,GET4,0.972555106,0.41
989,GFPT1,0.899653446,0.6
992,GGA2,0.925885152,0.68
995,GIGYF2,0.755366515,0.03
997,GIT1,1.203870412,0.37
998,GIT2,0.799294576,0.14
999,GLIPR2,0.891520399,0.48
1009,GMPPA,0.823813852,0.48
1014,GNB1,0.900777114,0.05
1016,GNB2L1,0.998797754,0.68
1020,GNL3,1.112352276,0.33
1038,GREM1,0.553229283,0.12
1043,GRWD1,0.902182128,0.53
1045,GSK3A,0.726962076,0.11
