Gene Name,MeanLN_INS,P-valueLN_INSvsCON,FC,logP
EDC4,0.851230286,0.31,-0.23237861335663357,0.5086383061657274
EDF1,0.750990936,0.01,-0.4131325994870476,2.0
EEA1,0.617248974,0.18,-0.6960755615854731,0.744727494896694
"EEF1A1,EEF1A1P5",0.830314279,0.06,-0.26827058621702565,1.2218487496163564
EEF1A2,0.85131663,0.1,-0.2322322819286456,1.0
EEF1B2,0.735438896,0.03,-0.44332261486182706,1.5228787452803376
EEF1D,0.752969282,0.01,-0.40933708471820923,2.0
EEF1G,0.702041145,0.01,-0.5103725088761064,2.0
EEF2,0.836721391,0.09,-0.25718077645453413,1.0457574905606752
EFHD2,0.724613428,0.05,-0.4647165538912083,1.3010299956639813
EHBP1L1,1.018057792,0.89,0.025819461084779737,0.05060999335508721
EHD1,1.021711285,0.51,0.030987577347598442,0.2924298239020636
EHD2,0.969929151,0.44,-0.04404872617933034,0.3565473235138126
EHD4,1.038889364,0.58,0.05504202334005665,0.23657200643706275
EIF1AY,0.781234608,0.08,-0.35617223413672555,1.0969100130080565
EIF2AK2,0.858197152,0.11,-0.2206189814989129,0.958607314841775
EIF2S1,0.731609355,0.01,-0.4508545721164537,2.0
"EIF2S3,EIF2S3L",0.724031141,0.04,-0.4658763450925737,1.3979400086720375
EIF3A,0.837095835,0.01,-0.2565352955710651,2.0
EIF3B,0.747625839,0.01,-0.4196116633738906,2.0
"EIF3C,EIF3CL",0.877640947,0.02,-0.18829725755128615,1.6989700043360187
EIF3D,0.973164771,0.47,-0.03924399987152463,0.3279021420642826
EIF3E,0.886921017,0.07,-0.1731224609991156,1.154901959985743
EIF3F,1.030371404,0.93,0.04316445986188224,0.03151705144606486
EIF3G,0.767707573,0.01,-0.38137121534992874,2.0
EIF3H,0.919920544,0.3,-0.120418837769353,0.5228787452803376
EIF3I,0.838492225,0.01,-0.2541306885645838,2.0
EIF3J,0.722633591,0.24,-0.46866377612205173,0.619788758288394
EIF3L,0.854441521,0.17,-0.22694633938188902,0.769551078621726
EIF3M,0.744391528,0.02,-0.4258664588642085,1.6989700043360187
EIF4A1,0.816807959,0.17,-0.29193117094161875,0.769551078621726
EIF4A2,0.775160401,0.19,-0.36743322219954033,0.721246399047171
EIF4A3,0.698321376,0.47,-0.5180369598034893,0.3279021420642826
EIF4E,0.899850014,0.36,-0.15224354021252567,0.44369749923271273
EIF4E2,0.774091422,0.16,-0.3694241328106698,0.7958800173440752
EIF4G1,0.840271728,0.03,-0.2510721512278651,1.5228787452803376
